nombre,tipo,precio,barrio,lat,long
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,alto,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,alto,Palacio,40.4217903,-3.7086754
El Rey León,evento,alto,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,alto,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,alto,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,alto,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
El Rey León,evento,medio,Palacio,40.4217903,-3.7086754
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
Alegría,evento,medio,No encontrado,,
